id,eissn,title_display,article_type,author_display,journal,publication_date,score,abstract,keyword,bibjson.link,title,provider,publisher,subject,active,article_statistics.statistics,author_copyright.copyright,author_publishing_rights.publishing_rights,editorial_review.process,format,language,plagiarism_detection.detection
10.1371/journal.pmed.1001457,1549-1676,Irreconcilable Conflict: The Tobacco Industry and the Public Health Challenge of Tobacco Use,Perspective,['Thomas E. Novotny'],PLoS Medicine,2013-05-28T00:00:00Z,9.266217,[': Thomas Novotny reflects on new research by Stanton Glantz and colleagues and the implications of their findings for engaging the tobacco industry on tobacco product regulation. '],tobacco,http://europepmc.org/articles/PMC3665893?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1001832,1549-1676,The Tobacco Endgame: Is It Possible?,Editorial,['Thomas E. Novotny'],PLoS Medicine,2015-05-29T00:00:00Z,8.905718,"['\nReflecting on World No Tobacco Day 2015, Tom Novotny assesses the tobacco control landscape and considers how a tobacco endgame could be a reality.\n']",tobacco,http://europepmc.org/articles/PMC4449011?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1001629,1549-1676,Representation and Misrepresentation of Scientific Evidence in Contemporary Tobacco Regulation: A Review of Tobacco Industry Submissions to the UK Government Consultation on Standardised Packaging,Research Article,"['Selda Ulucanlar', 'Gary J. Fooks', 'Jenny L. Hatchard', 'Anna B. Gilmore']",PLoS Medicine,2014-03-25T00:00:00Z,8.093411,"["": Selda Ulucanlar and colleagues analyze submissions by two tobacco companies to the UK government consultation on standardized packaging. Background: Standardised packaging (SP) of tobacco products is an innovative tobacco control measure opposed by transnational tobacco companies (TTCs) whose responses to the UK government's public consultation on SP argued that evidence was inadequate to support implementing the measure. The government's initial decision, announced 11 months after the consultation closed, was to wait for ‘more evidence’, but four months later a second ‘independent review’ was launched. In view of the centrality of evidence to debates over SP and TTCs' history of denying harms and manufacturing uncertainty about scientific evidence, we analysed their submissions to examine how they used evidence to oppose SP. Methods and Findings: We purposively selected and analysed two TTC submissions using a verification-oriented cross-documentary method to ascertain how published studies were used and interpretive analysis with a constructivist grounded theory approach to examine the conceptual significance of TTC critiques. The companies' overall argument was that the SP evidence base was seriously flawed and did not warrant the introduction of SP. However, this argument was underpinned by three complementary techniques that misrepresented the evidence base. First, published studies were repeatedly misquoted, distorting the main messages. Second, ‘mimicked scientific critique’ was used to undermine evidence; this form of critique insisted on methodological perfection, rejected methodological pluralism, adopted a litigation (not scientific) model, and was not rigorous. Third, TTCs engaged in ‘evidential landscaping’, promoting a parallel evidence base to deflect attention from SP and excluding company-held evidence relevant to SP. The study's sample was limited to sub-sections of two out of four submissions, but leaked industry documents suggest at least one other company used a similar approach. Conclusions: The TTCs' claim that SP will not lead to public health benefits is largely without foundation. The tools of Better Regulation, particularly stakeholder consultation, provide an opportunity for highly resourced corporations to slow, weaken, or prevent public health policies. Background: Every year, about 6 million people die from tobacco-related diseases and, if current trends continue, annual tobacco-related deaths will increase to more than 8 million by 2030. To reduce this loss of life, national and international bodies have drawn up various conventions and directives designed to implement tobacco control measures such as the adoption of taxation policies aimed at reducing tobacco consumption and bans on tobacco advertising, promotion, and sponsorship. One innovative but largely unused tobacco control measure is standardised packaging of tobacco products. Standardised packaging aims to prevent the use of packaging as a marketing tool by removing all brand imagery and text (other than name) and by introducing packs of a standard shape and colour that include prominent pictorial health warnings. Standardised packaging was first suggested as a tobacco control measure in 1986 but has been consistently opposed by the tobacco industry. Why Was This Study Done?: The UK is currently considering standardised packaging of tobacco products. In the UK, Better Regulation guidance obliges officials to seek the views of stakeholders, including corporations, on the government's cost and benefit estimates of regulatory measures such as standardised packaging and on the evidence underlying these estimates. In response to a public consultation about standardised packaging in July 2013, which considered submissions from several transnational tobacco companies (TTCs), the UK government announced that it would wait for the results of the standardised packaging legislation that Australia adopted in December 2012 before making its final decision about this tobacco control measure. Parliamentary debates and media statements have suggested that doubt over the adequacy of the evidence was the main reason for this ‘wait and see’ decision. Notably, TTCs have a history of manufacturing uncertainty about the scientific evidence related to the harms of tobacco. Given the centrality of evidence to the debate about standardised packaging, in this study, the researchers analyse submissions made by two TTCs, British American Tobacco (BAT) and Japan Tobacco International (JTI), to the first UK consultation on standardised packaging (a second review is currently underway and will report shortly) to examine how TTCs used evidence to oppose standardised packaging. What Did the Researchers Do and Find?: The researchers analysed sub-sections of two of the four TTC submissions (those submitted by BAT and JTI) made to the public consultation using verification-oriented cross-documentary analysis, which compared references made to published sources with the original sources to ascertain how these sources had been used, and interpretative analysis to examine the conceptual significance of TTC critiques of the evidence on standardised packaging. The researchers report that the companies' overall argument was that the evidence base in support of standardised packaging was seriously flawed and did not warrant the introduction of such packaging. The researchers identified three ways in which the TTC reports misrepresented the evidence base. First, the TTCs misquoted published studies, thereby distorting the main messages of these studies. For example, the TTCs sometimes omitted important qualifying information when quoting from published studies. Second, the TTCs undermined evidence by employing experts to review published studies for methodological rigor and value in ways that did not conform to normal scientific critique approaches (‘mimicked scientific critique’). So, for example, the experts considered each piece of evidence in isolation for its ability to support standardised packaging rather than considering the cumulative weight of the evidence. Finally, the TTCs engaged in ‘evidential landscaping’. That is, they promoted research that deflected attention from standardised packaging (for example, research into social explanations of smoking behaviour) and omitted internal industry research on the role of packaging in marketing. What Do These Findings Mean?: These findings suggest that the TTC critique of the evidence in favour of standardised packaging that was presented to the UK public consultation on this tobacco control measure is highly misleading. However, because the researchers' analysis only considered subsections of the submissions from two TTCs, these findings may not be applicable to the other submissions or to other TTCs. Moreover, their analysis only considered the efforts made by TTCs to influence public health policy and not the effectiveness of these efforts. Nevertheless, these findings suggest that the claim of TTCs that standardised packaging will not lead to public health benefits is largely without foundation. More generally, these findings highlight the possibility that the tools of Better Regulation, particularly stakeholder consultation, provide an opportunity for wealthy corporations to slow, weaken, or prevent the implementation of public health policies. Additional Information: Please access these websites via the online version of this summary at http://dx.doi.org/10.1371/journal.pmed.1001629. ""]",tobacco,http://europepmc.org/articles/PMC3965396?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1001506,1549-1676,Transnational Tobacco Company Interests in Smokeless Tobacco in Europe: Analysis of Internal Industry Documents and Contemporary Industry Materials,Research Article,"['Silvy Peeters', 'Anna B. Gilmore']",PLoS Medicine,2013-09-10T00:00:00Z,8.093411,"["": In light lobbying by transnational tobacco companies to remove the European Union ban on the sale of snus (a smokeless tobacco product), Silvy Peeters and Anna Gilmore explore the motivation behind tobacco companies' interests in smokeless tobacco products in Europe. Background: European Union (EU) legislation bans the sale of snus, a smokeless tobacco (SLT) which is considerably less harmful than smoking, in all EU countries other than Sweden. To inform the current review of this legislation, this paper aims to explore transnational tobacco company (TTC) interests in SLT and pure nicotine in Europe from the 1970s to the present, comparing them with TTCs' public claims of support for harm reduction. Methods and Results: Internal tobacco industry documents (in total 416 documents dating from 1971 to 2009), obtained via searching the online Legacy Tobacco Documents Library, were analysed using a hermeneutic approach. This library comprises documents obtained via litigation in the US and does not include documents from Imperial Tobacco, Japan Tobacco International, or Swedish Match. To help overcome this limitation and provide more recent data, we triangulated our documentary findings with contemporary documentation including TTC investor presentations. The analysis demonstrates that British American Tobacco explored SLT opportunities in Europe from 1971 driven by regulatory threats and health concerns, both likely to impact cigarette sales negatively, and the potential to create a new form of tobacco use among those no longer interested in taking up smoking. Young people were a key target. TTCs did not, however, make SLT investments until 2002, a time when EU cigarette volumes started declining, smoke-free legislation was being introduced, and public health became interested in harm reduction. All TTCs have now invested in snus (and recently in pure nicotine), yet both early and recent snus test markets appear to have failed, and little evidence was found in TTCs' corporate materials that snus is central to their business strategy. Conclusions: There is clear evidence that BAT's early interest in introducing SLT in Europe was based on the potential for creating an alternative form of tobacco use in light of declining cigarette sales and social restrictions on smoking, with young people a key target. We conclude that by investing in snus, and recently nicotine, TTCs have eliminated competition between cigarettes and lower-risk products, thus helping maintain the current market balance in favour of (highly profitable) cigarettes while ensuring TTCs' long-term future should cigarette sales decline further and profit margins be eroded. Background: Every year, about 5 million people die from cancer, heart disease, and other tobacco-related diseases. In recent years, to reduce this growing loss of life, international and national bodies have drawn up various tobacco control conventions and directives. For example, the European Union (EU) Directives on tobacco control call for member states to ban tobacco advertising, promotion, and sponsorship and to adopt taxation policies aimed at reducing tobacco consumption. The 2001 EU Tobacco Products Directive also bans the sale of snus, a form of smokeless tobacco (SLT), in all EU countries except Sweden. Snus, which originated in Sweden in the early 19th century, is a moist tobacco product that is placed under the upper lip. Although snus is considerably less harmful than smoking, the sale of snus was banned in the EU in 1992 because of fears that it might cause cancer and was being marketed to young people. When Sweden joined the EU in 1994, exemption from the ban was made a condition of the membership treaty. Why Was This Study Done?: Transnational tobacco companies (TTCs) have been investing in European snus manufacturers since 2002 and more recently in pure nicotine products, and it has been suggested that, faced with declining cigarette markets in Europe and elsewhere, TTCs are preparing for a “post-cigarette era”. Since 2008, TTCs have been lobbying EU member states and the European Commission to remove the ban on snus sales, arguing that public health would be improved if governments allowed potentially reduced-harm products like snus onto the market. At the end of 2012, however, the European Commission proposed that the ban on snus sales should be continued. Here, to help inform this controversial policy debate, the researchers explore the interest of TTCs in SLT and pure nicotine in Europe from the 1970s to the present by examining internal tobacco documents and compare these interests with public claims of support for harm reduction made by TTCs. What Did the Researchers Do and Find?: By searching the Legacy Tobacco Documents Library (internal tobacco industry documents released following US litigation cases), the researchers identified 416 documents that detail the historical interest of TTCs in SLT and pure nicotine and their efforts to enter European markets, and to influence national and EU public-health policy. The researchers analyzed these documents using a “hermeneutic” approach—methodical reading and re-reading of the documents to identify themes and sub-themes. Finally, they used TTC investor presentations and other documents to confirm these themes and to provide recent data on TTC investment in SLT. British American Tobacco (BAT) explored the opportunities for marketing SLT products in Europe from 1971 onwards. This exploration was driven by regulatory threats and health concerns, both of which were likely to impact tobacco sales, and by the potential to create a new form of tobacco use among people no longer interested in taking up smoking. TTCs did not begin to invest in SLT, however, until 2002, a time when EU cigarette sale volumes started to decline, smoke-free legislation was being introduced, and tobacco harm reduction first became a major public-health issue. All the TTCs have now invested in snus even though snus test markets appear to have failed and even though there is little evidence in corporate materials that snus is central to the business strategy of TTCs. What Do These Findings Mean?: These findings suggest that BAT's early interest in SLT in Europe was driven by business concerns and was based on the potential for creating an alternative form of tobacco use among people—particularly young people—who would no longer take up smoking because of health concerns. They also suggest that TTC investments in snus were defensive—by buying up snus manufacturers and more recently nicotine producers, TTCs have eliminated competition between cigarettes and lower-risk products, thereby helping to maintain the current market balance in favor of cigarettes while ensuring the long-term future of TTCs should cigarette sales decline further. Although these findings are limited by the possibility that some relevant documents may have been omitted from this analysis, they nevertheless raise the concern that, if TTC investment in SLT continues, competition between cigarettes and SLT will reduce the potential for harm reduction to benefit public health. Legalization of snus sales in the European Union may therefore have considerably less benefit than envisaged. Additional Information: Please access these Web sites via the online version of this summary at http://dx.doi.org/10.1371/journal.pmed.1001506. ""]",tobacco,http://europepmc.org/articles/PMC3769209?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.0040300,1549-1676,Should the Health Community Promote Smokeless Tobacco (Snus): Comments from British American Tobacco,Correspondence,"['Justine Williamson', 'Christopher Proctor']",PLoS Medicine,2007-10-30T00:00:00Z,8.093411,[''],tobacco,http://europepmc.org/articles/PMC2043003?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1001249,1549-1676,Global Health Governance and the Commercial Sector: A Documentary Analysis of Tobacco Company Strategies to Influence the WHO Framework Convention on Tobacco Control,Research Article,"['Heide Weishaar', 'Jeff Collin', 'Katherine Smith', 'Thilo Grüning', 'Sema Mandal', 'Anna Gilmore']",PLoS Medicine,2012-06-26T00:00:00Z,8.093411,"[""\n        Heide Weishaar and colleagues did an analysis of internal tobacco industry documents together with other data and describe the industry's strategic response to the proposed World Health Organization Framework Convention on Tobacco Control.\n      Background: In successfully negotiating the Framework Convention on Tobacco Control (FCTC), the World Health Organization (WHO) has led a significant innovation in global health governance, helping to transform international tobacco control. This article provides the first comprehensive review of the diverse campaign initiated by transnational tobacco corporations (TTCs) to try to undermine the proposed convention. Methods and Findings: The article is primarily based on an analysis of internal tobacco industry documents made public through litigation, triangulated with data from official documentation relating to the FCTC process and websites of relevant organisations. It is also informed by a comprehensive review of previous studies concerning tobacco industry efforts to influence the FCTC. The findings demonstrate that the industry's strategic response to the proposed WHO convention was two-fold. First, arguments and frames were developed to challenge the FCTC, including: claiming there would be damaging economic consequences; depicting tobacco control as an agenda promoted by high-income countries; alleging the treaty conflicted with trade agreements, “good governance,” and national sovereignty; questioning WHO's mandate; claiming the FCTC would set a precedent for issues beyond tobacco; and presenting corporate social responsibility (CSR) as an alternative. Second, multiple tactics were employed to promote and increase the impact of these arguments, including: directly targeting FCTC delegations and relevant political actors, enlisting diverse allies (e.g., mass media outlets and scientists), and using stakeholder consultation to delay decisions and secure industry participation. Conclusions: TTCs' efforts to undermine the FCTC were comprehensive, demonstrating the global application of tactics that TTCs have previously been found to have employed nationally and further included arguments against the FCTC as a key initiative in global health governance. Awareness of these strategies can help guard against industry efforts to disrupt the implementation of the FCTC and support the development of future, comparable initiatives in global health. : \n            Please see later in the article for the Editors' Summary\n           Background: Every year, about 5 million people die worldwide from tobacco-related causes and, if current trends continue, annual deaths from tobacco-related causes will increase to 10 million by 2030. In response to this global tobacco epidemic, the World Health Organization (WHO) has developed an international instrument for tobacco control called the Framework Convention on Tobacco Control (FCTC). Negotiations on the FCTC began in 1999, and the international treaty—the first to be negotiated under the auspices of WHO—entered into force on 27 February 2005. To date, 174 countries have become parties to the FCTC. As such, they agree to implement comprehensive bans on tobacco advertising, promotion, and sponsorship; to ban misleading and deceptive terms on cigarette packaging; to implement health warnings on tobacco packaging; to protect people from tobacco smoke exposure in public spaces and indoor workplaces; to implement taxation policies aimed at reducing tobacco consumption; and to combat illicit trade in tobacco products. Why Was This Study Done?: Transnational tobacco corporations (TTCs) are sometimes described as “vectors” of the global tobacco epidemic because of their drive to maximize shareholder value and tobacco consumption. Just like conventional disease vectors (agents that carry or transmit infectious organisms), TTCs employ a variety of tactics to ensure the spread of tobacco consumption. For example, various studies have shown that TTCs have developed strategies that attempt to limit the impact of tobacco control measures such as the FCTC. However, to date, studies investigating the influence of TTCs on the FCTC have concentrated on specific countries or documented specific tactics. Here, the researchers undertake a comprehensive review of the diverse tactics employed by TTCs to undermine the development of the FCTC. Such a review is important because its results should facilitate the effective implementation of FCTC measures and could support the development of future tobacco control initiatives and of global initiatives designed to control alcohol-related and food-related disease and death. What Did the Researchers Do and Find?: The researchers analyzed documents retrieved from the Legacy Tobacco Documents Library (a collection of internal tobacco industry documents released as a result of US litigation cases) dealing with the strategies employed by TTCs to influence the FCTC alongside data from the websites of industry, consultancy, and other organizations cited in the documents; the official records of the FCTC process; and previous studies of tobacco industry efforts to influence the FCTC. Their analysis reveals that the strategic response of the major TTCs to the proposed FCTC was two-fold. First, the TTCs developed a series of arguments and “frames” (beliefs and ideas that provide a framework for thinking about an issue) to challenge the FCTC. Core frames included claiming that the FCTC would have damaging economic consequences, questioning WHO's mandate to develop a legally binding international treaty by claiming that tobacco was not a cross-border problem, and presenting corporate social responsibility (the commitment by business to affect the environment, consumers, employees, and society positively in addition to making money for shareholders) as an alternative to the FCTC. Second, the TTCs employed multiple strategies to promote and increase the impact of these arguments and frames, such as targeting FCTC delegations and enlisting the help of diverse allies including media outlets and scientists. What Do These Findings Mean?: These findings illustrate the variety and complexity of the tobacco industry's efforts to undermine the FCTC and show the extent to which TTCs combined and coordinated tactics on a global stage that they had previously used on a national stage. Indeed, “the comprehensiveness and scale of the tobacco industry's response to the FCTC suggests that it is reasonable to speak of a ‘globalisation of tobacco industry strategy’ in combating the development of effective tobacco control policies,” write the researchers. Awareness of the strategies employed by TTCs to influence the FCTC should help guard against industry efforts to disrupt the implementation of the FCTC and should support the development of future global tobacco control initiatives. More generally, these findings should support the development of global health initiatives designed to tackle cardiovascular disease, cancer, chronic respiratory diseases and diabetes – non-communicable diseases that together account for 60% of global deaths and are partly driven by the commercial activities of food, alcohol, and tobacco corporations. Additional Information: Please access these Web sites via the online version of this summary at http://dx.doi.org/10.1371/journal.pmed.1001249. ""]",tobacco,http://europepmc.org/articles/PMC3383743?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1000079,1549-1676,Policy Coherence in US Tobacco Control: Beyond FDA Regulation,Policy Forum,"['Joshua S. Yang', 'Thomas E. Novotny']",PLoS Medicine,2009-05-19T00:00:00Z,7.741093,['\nJoshua Yang and Thomas Novotny explore whether the US government can develop and implement a coherent policy agenda to reduce tobacco-related morbidity and mortality.\n'],tobacco,http://europepmc.org/articles/PMC2677110?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.0050189,1549-1676,Tobacco Control Yields Clear Dividends for Health and Wealth,Perspective,['Kelley Lee'],PLoS Medicine,2008-09-16T00:00:00Z,7.741093,['\n        Kelley Lee discusses a research article by Stanton Glantz and colleagues reporting that investment in tobacco control programs leads to substantial savings in health care expenditures.\n      '],tobacco,http://europepmc.org/articles/PMC2535659?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1000202,1549-1676,“Working the System”—British American Tobacco's Influence on the European Union Treaty and Its Implications for Policy: An Analysis of Internal Tobacco Industry Documents,Research Article,"['Katherine E. Smith', 'Gary Fooks', 'Jeff Collin', 'Heide Weishaar', 'Sema Mandal', 'Anna B. Gilmore']",PLoS Medicine,2010-01-12T00:00:00Z,7.3069916,"[""\nKatherine Smith and colleagues investigate the ways in which British American Tobacco influenced the European Union Treaty so that new EU policies advance the interests of major corporations, including those that produce products damaging to health.\nBackground: Impact assessment (IA) of all major European Union (EU) policies is now mandatory. The form of IA used has been criticised for favouring corporate interests by overemphasising economic impacts and failing to adequately assess health impacts. Our study sought to assess how, why, and in what ways corporations, and particularly the tobacco industry, influenced the EU's approach to IA. Methods and Findings: In order to identify whether industry played a role in promoting this system of IA within the EU, we analysed internal documents from British American Tobacco (BAT) that were disclosed following a series of litigation cases in the United States. We combined this analysis with one of related literature and interviews with key informants. Our analysis demonstrates that from 1995 onwards BAT actively worked with other corporate actors to successfully promote a business-oriented form of IA that favoured large corporations. It appears that BAT favoured this form of IA because it could advance the company's European interests by establishing ground rules for policymaking that would: (i) provide an economic framework for evaluating all policy decisions, implicitly prioritising costs to businesses; (ii) secure early corporate involvement in policy discussions; (iii) bestow the corporate sector with a long-term advantage over other actors by increasing policymakers' dependence on information they supplied; and (iv) provide businesses with a persuasive means of challenging potential and existing legislation. The data reveal that an ensuing lobbying campaign, largely driven by BAT, helped secure binding changes to the EU Treaty via the Treaty of Amsterdam that required EU policymakers to minimise legislative burdens on businesses. Efforts subsequently focused on ensuring that these Treaty changes were translated into the application of a business orientated form of IA (cost–benefit analysis [CBA]) within EU policymaking procedures. Both the tobacco and chemical industries have since employed IA in apparent attempts to undermine key aspects of European policies designed to protect public health. Conclusions: Our findings suggest that BAT and its corporate allies have fundamentally altered the way in which all EU policy is made by making a business-oriented form of IA mandatory. This increases the likelihood that the EU will produce policies that advance the interests of major corporations, including those that produce products damaging to health, rather than in the interests of its citizens. Given that the public health community, focusing on health IA, has largely welcomed the increasing policy interest in IA, this suggests that urgent consideration is required of the ways in which IA can be employed to undermine, as well as support, effective public health policies. : Please see later in the article for the Editors' Summary Background: The primary goal of public health, the branch of medicine concerned with the health of communities, is to improve lives by preventing disease. Public-health groups do this by assessing and monitoring the health of communities, by ensuring that populations have access to appropriate and cost-effective health care, and by helping to formulate public policies that safeguard human health. Until recently, most of the world's major public-health concerns related to infectious diseases. Nowadays, however, many major public-health concerns are linked to the goods made and marketed by large corporations such as fast food, alcohol, tobacco, and chemicals. In Europe, these corporations are regulated by policies drawn up both by member states and by the European Commission, the executive organ of the European Union (EU; an economic and political partnership among 27 democratic European countries). Thus, for example, the tobacco industry, which is widely recognized as a driver of the smoking epidemic, is regulated by Europe-wide tobacco control policies and member state level policies. Why Was This Study Done?: Since 1997, the European Commission has been required by law to assess the economic, social (including health), and environmental consequences of new policy initiatives using a process called an “impact assessment” (IA). Because different types of IA examine the likely effects of policies on different aspects of daily life—a health impact assessment, for example, focuses on a policy's effect on health—the choice of IA can lead to different decisions being taken about new policies. Although the IA tool adopted by the European Commission aims to assess economic, environmental and social impacts, independent experts suggest this tool does not adequately assess health impacts. Instead, economic impacts receive the most attention, a situation that may favour the interests of large businesses. In this study, the researchers seek to identify how and why the EU's approach to IA developed. More specifically, the researchers analyze internal documents from British American Tobacco (BAT), which have been disclosed because of US litigation cases, to find out whether industry has played a role in promoting the EU's system of IA. What Did the Researchers Do and Find?: The researchers analyzed 714 BAT internal documents (identified by searching the Legacy Tobacco Documents Library, which contains more than 10 million internal tobacco company documents) that concerned attempts made by BAT to influence regulatory reforms in Europe. They also analyzed related literature from other sources (for example, academic publications) and interviewed 16 relevant people (including people who had worked at the European Commission). This analysis shows that from 1995, BAT worked with other businesses to promote European regulatory reforms (in particular, the establishment of a business-orientated form of IA) that favor large corporations. A lobbying campaign, initiated by BAT but involving a “policy network” of other companies, first helped to secure binding changes to the EU Treaty that require policymakers to minimize legislative burdens on businesses. The analysis shows that after achieving this goal, which BAT described as an “important victory,” further lobbying ensured that these treaty changes were translated into the implementation of a business-orientated form of IA within the EU. Both the tobacco industry and the chemical industry, the researchers argue, have since used the IA to delay and/or weaken EU legislation intended to protect public health. What Do These Findings Mean?: These findings suggest that BAT and its corporate allies have fundamentally altered the way in which EU policy is made by ensuring that all significant EU policy decisions have to be assessed using a business-orientated IA. As the authors note, this situation increases the likelihood that the EU will produce policies that favor big business rather than the health of its citizens. Furthermore, these findings suggest that by establishing a network of other industries to help in lobbying for EU Treaty changes, BAT was able to distance itself from the push to establish a business-orientated IA to the extent that Commission officials were unaware of the involvement of the tobacco industry in campaigns for IA. Thus, in future, to safeguard public health, policymakers and public-health groups must pay more attention to corporate efforts to shape decision-making processes. In addition, public-health groups must take account of the ways in which IA can be used to undermine as well as support effective public-health policies and they must collaborate more closely in their efforts to ensure effective national and international policy. Additional Information: Please access these Web sites via the online version of this summary at http://dx.doi.org/0.1371/journal.pmed.1000202. ""]",tobacco,http://europepmc.org/articles/PMC2797088?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
10.1371/journal.pmed.1000232,1549-1676,Brazil and the Framework Convention on Tobacco Control: Global Health Diplomacy as Soft Power,Policy Forum,"['Kelley Lee', 'Luiz Carlos Chagas', 'Thomas E. Novotny']",PLoS Medicine,2010-04-20T00:00:00Z,6.8413234,"[""\nAs part of the PLoS Medicine series on Global Health Diplomacy, Kelley Lee and colleagues provide a case study of Brazil's growing influence in international relations and global health, using as an example that country's role and use of “soft power” in the negotiation of the Framework Convention on Tobacco Control.\n""]",tobacco,http://europepmc.org/articles/PMC2857639?pdf=render,PLoS Medicine,Public Library of Science (PLoS),Public Library of Science (PLoS),Medicine,True,True,True,True,Peer review,"['PDF', 'HTML', 'XML']",['EN'],True
