Author,Author_Count,Journal,Journal_Count,Subject,Subject_Count
Thomas E. Novotny,4,PLoS Medicine,31,Medicine,299
Selda Ulucanlar,2,PLoS ONE,268,Immunologic diseases. Allergy,4
Gary J. Fooks,3,PLoS Pathogens,4,Genetics,1
Jenny L. Hatchard,1,PLoS Genetics,1,,
Anna B. Gilmore,6,,,,
Silvy Peeters,1,,,,
Justine Williamson,1,,,,
Christopher Proctor,1,,,,
Heide Weishaar,2,,,,
Jeff Collin,4,,,,
Katherine Smith,1,,,,
Thilo Grüning,1,,,,
Sema Mandal,2,,,,
Anna Gilmore,1,,,,
Joshua S. Yang,1,,,,
Kelley Lee,6,,,,
Katherine E. Smith,2,,,,
Gary Fooks,3,,,,
Luiz Carlos Chagas,1,,,,
Stanton A. Glantz,5,,,,
Richard Barnes,1,,,,
Sharon Y. Eubanks,1,,,,
Thomas E Novotny,1,,,,
James M Lightwood,1,,,,
Alexis Dinno,1,,,,
Stanton A Glantz,1,,,,
Lori Dorfman,1,,,,
Andrew Cheyne,1,,,,
Lissy C. Friedman,1,,,,
Asiya Wadud,1,,,,
Mark Gottlieb,1,,,,
Coral E Gartner,1,,,,
Wayne D Hall,1,,,,
Simon Chapman,2,,,,
Becky Freeman,2,,,,
Chris Holden,1,,,,
Hsien-Ho Lin,1,,,,
Majid Ezzati,1,,,,
Megan Murray,1,,,,
Tony Blakely,2,,,,
Linda J. Cobiac,2,,,,
Christine L. Cleghorn,2,,,,
Amber L. Pearson,2,,,,
Frederieke S. van der Deen,2,,,,
Giorgi Kvizhinadze,2,,,,
Nhung Nghiem,2,,,,
Melissa McLeod,2,,,,
Nick Wilson,2,,,,
Monique E Muggli,1,,,,
Quan Gan,1,,,,
Jon O Ebbert,1,,,,
Richard D Hurt,1,,,,
Thomas Land,2,,,,
Nancy A. Rigotti,2,,,,
Douglas E. Levy,3,,,,
Mark Paskowsky,2,,,,
Donna Warner,2,,,,
Jo-Ann Kwass,1,,,,
LeAnn Wetherell,2,,,,
Lois Keithly,2,,,,
Sanjay Basu,2,,,,
Stanton Glantz,2,,,,
Asaf Bitton,1,,,,
Christopher Millett,3,,,,
Louisa Degenhardt,1,,,,
Wai-Tat Chiu,1,,,,
Nancy Sampson,1,,,,
Ronald C Kessler,1,,,,
James C Anthony,1,,,,
Matthias Angermeyer,1,,,,
Ronny Bruffaerts,1,,,,
Giovanni de Girolamo,1,,,,
Oye Gureje,1,,,,
Yueqin Huang,1,,,,
Aimee Karam,1,,,,
Stanislav Kostyuchenko,1,,,,
Jean Pierre Lepine,1,,,,
Maria Elena Medina Mora,1,,,,
Yehuda Neumark,1,,,,
J. Hans Ormel,1,,,,
Alejandra Pinto-Meza,1,,,,
José Posada-Villa,1,,,,
Dan J Stein,1,,,,
Tadashi Takeshima,1,,,,
J. Elisabeth Wells,1,,,,
David Stuckler,1,,,,
Martin McKee,1,,,,
Shah Ebrahim,1,,,,
Rachel Ann Barry,1,,,,
Jurgita Saulyte,1,,,,
Carlos Regueira,1,,,,
Agustín Montes-Martínez,1,,,,
Polyna Khudyakov,1,,,,
Bahi Takkouche,1,,,,
Wei Zheng,1,,,,
Dale F. McLerran,1,,,,
Betsy A. Rolland,1,,,,
Zhenming Fu,1,,,,
Paolo Boffetta,1,,,,
Jiang He,1,,,,
Prakash Chandra Gupta,1,,,,
Kunnambath Ramadas,1,,,,
Shoichiro Tsugane,1,,,,
Fujiko Irie,1,,,,
