id,title_display,author_display,journal,full_text_link,score,keyword,publisher,subject,article_statistics
10.1371/journal.pmed.1001457,Irreconcilable Conflict: The Tobacco Industry and the Public Health Challenge of Tobacco Use,['Thomas E. Novotny'],PLoS Medicine,http://europepmc.org/articles/PMC3665893?pdf=render,9.266217,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001832,The Tobacco Endgame: Is It Possible?,['Thomas E. Novotny'],PLoS Medicine,http://europepmc.org/articles/PMC4449011?pdf=render,8.905718,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001629,Representation and Misrepresentation of Scientific Evidence in Contemporary Tobacco Regulation: A Review of Tobacco Industry Submissions to the UK Government Consultation on Standardised Packaging,"['Selda Ulucanlar', 'Gary J. Fooks', 'Jenny L. Hatchard', 'Anna B. Gilmore']",PLoS Medicine,http://europepmc.org/articles/PMC3965396?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001506,Transnational Tobacco Company Interests in Smokeless Tobacco in Europe: Analysis of Internal Industry Documents and Contemporary Industry Materials,"['Silvy Peeters', 'Anna B. Gilmore']",PLoS Medicine,http://europepmc.org/articles/PMC3769209?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0040300,Should the Health Community Promote Smokeless Tobacco (Snus): Comments from British American Tobacco,"['Justine Williamson', 'Christopher Proctor']",PLoS Medicine,http://europepmc.org/articles/PMC2043003?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001249,Global Health Governance and the Commercial Sector: A Documentary Analysis of Tobacco Company Strategies to Influence the WHO Framework Convention on Tobacco Control,"['Heide Weishaar', 'Jeff Collin', 'Katherine Smith', 'Thilo Grüning', 'Sema Mandal', 'Anna Gilmore']",PLoS Medicine,http://europepmc.org/articles/PMC3383743?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1000079,Policy Coherence in US Tobacco Control: Beyond FDA Regulation,"['Joshua S. Yang', 'Thomas E. Novotny']",PLoS Medicine,http://europepmc.org/articles/PMC2677110?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0050189,Tobacco Control Yields Clear Dividends for Health and Wealth,['Kelley Lee'],PLoS Medicine,http://europepmc.org/articles/PMC2535659?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1000202,“Working the System”—British American Tobacco's Influence on the European Union Treaty and Its Implications for Policy: An Analysis of Internal Tobacco Industry Documents,"['Katherine E. Smith', 'Gary Fooks', 'Jeff Collin', 'Heide Weishaar', 'Sema Mandal', 'Anna B. Gilmore']",PLoS Medicine,http://europepmc.org/articles/PMC2797088?pdf=render,7.3069916,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1000232,Brazil and the Framework Convention on Tobacco Control: Global Health Diplomacy as Soft Power,"['Kelley Lee', 'Luiz Carlos Chagas', 'Thomas E. Novotny']",PLoS Medicine,http://europepmc.org/articles/PMC2857639?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1000118,Compromise or Capitulation? US Food and Drug Administration Jurisdiction Over Tobacco Products,"['Stanton A. Glantz', 'Richard Barnes', 'Sharon Y. Eubanks']",PLoS Medicine,http://europepmc.org/articles/PMC2709428?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0030279,The “Ultimate Prize” for Big Tobacco: Opening the Chinese Cigarette Market by Cigarette Smuggling,['Thomas E Novotny'],PLoS Medicine,http://europepmc.org/articles/PMC1502150?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0030228,“Key to the Future”: British American Tobacco and Cigarette Smuggling in China,"['Kelley Lee', 'Jeff Collin']",PLoS Medicine,http://europepmc.org/articles/PMC1502159?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0050178,Effect of the California Tobacco Control Program on Personal Health Care Expenditures,"['James M Lightwood', 'Alexis Dinno', 'Stanton A Glantz']",PLoS Medicine,http://europepmc.org/articles/PMC2522256?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001241,Soda and Tobacco Industry Corporate Social Responsibility Campaigns: How Do They Compare?,"['Lori Dorfman', 'Andrew Cheyne', 'Lissy C. Friedman', 'Asiya Wadud', 'Mark Gottlieb']",PLoS Medicine,http://europepmc.org/articles/PMC3378589?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0040185,Should the Health Community Promote Smokeless Tobacco (Snus) as a Harm Reduction Measure?,"['Coral E Gartner', 'Wayne D Hall', 'Simon Chapman', 'Becky Freeman']",PLoS Medicine,http://europepmc.org/articles/PMC1904463?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1002125,The Policy Dystopia Model: An Interpretive Analysis of Tobacco Industry Political Activity,"['Selda Ulucanlar', 'Gary J. Fooks', 'Anna B. Gilmore']",PLoS Medicine,http://europepmc.org/articles/PMC5029800?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001076,Corporate Social Responsibility and Access to Policy Élites: An Analysis of Tobacco Industry Documents,"['Gary J. Fooks', 'Anna B. Gilmore', 'Katherine E. Smith', 'Jeff Collin', 'Chris Holden', 'Kelley Lee']",PLoS Medicine,http://europepmc.org/articles/PMC3160341?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0040020,"Tobacco Smoke, Indoor Air Pollution and Tuberculosis: A Systematic Review and Meta-Analysis","['Hsien-Ho Lin', 'Majid Ezzati', 'Megan Murray']",PLoS Medicine,http://europepmc.org/articles/PMC1769410?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
